assembly	member_kind	android_type	android_token	android_name	android_ordinal	switch_type	switch_token	switch_name	switch_ordinal	switch_rva_hex	rank	score	margin_to_second	status	type_pair_source	type_pair_authority	android_type_signature	switch_type_signature	evidence
Assembly-CSharp	method	BJEJMIMNJBP	0x06002163	BAGCMLBIIEG	2	Nekki.SF2.Core.Utils.ShopOverrideConteyner	0x0600258F	GetOverrideByScreen	2	0xEF3B20	1	0.930000	0.640000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	JHJPEFFBMFM(System.String)	Nekki.SF2.Core.Utils.ShopOverride(System.String)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=4|android_il_field_refs=2;mapped=2|switch_script_rva_joined
Assembly-CSharp	method	BKCNEABMPHL	0x06001BA6	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionGiveItem	0x06001C08	Parse	1	0xD83AE0	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=4;mapped=3|android_il_literals=3|switch_script_rva_joined
Assembly-CSharp	field	BKKPCBGAEHC	0x04001878	IBHGDHFOAGF	1	Nekki.SF2.Core.Zones.BattleReplayable	0x04001ED8	_rulesAndWarriorsSet	5		1	1.000000	0.724000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Boolean	System.Boolean	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal
Assembly-CSharp	method	BLAIFJHNJIO	0x06002243	ENNGGFAPKMB	3	Nekki.SF2.Core.Utils.Perks.PerkActionProvoke	0x060026CE	set_Trigger	3	0xF6A340	1	0.970000	0.585000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.String)	System.Void(System.String)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	BLAIFJHNJIO	0x06002244	PALCFKPEPPF	4	Nekki.SF2.Core.Utils.Perks.PerkActionProvoke	0x060026CF	Parse	4	0xF6A350	1	0.930000	0.545000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=6;mapped=4|android_il_field_refs=1;mapped=0|android_il_literals=2|switch_script_rva_joined
Assembly-CSharp	field	BLHOBLHCPIP	0x04000717	<>f__switch$map2	38	Nekki.SF2.Core.MultiplayerSF.RaidCheatManager	0x04000F91	<>f__switch$map7	13		1	0.997429	0.663429	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Collections.Generic.Dictionary`2<System.String,System.Int32>	System.Collections.Generic.Dictionary`2<System.String,System.Int32>	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_position_close|constant_equal|field_semantics_equal
Assembly-CSharp	field	BLHOBLHCPIP	0x04000719	<>f__switch$map3	40	Nekki.SF2.Core.MultiplayerSF.RaidCheatManager	0x04000F91	<>f__switch$map7	13		1	0.991429	0.651429	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Collections.Generic.Dictionary`2<System.String,System.Int32>	System.Collections.Generic.Dictionary`2<System.String,System.Int32>	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_position_close|constant_equal|field_semantics_equal
Assembly-CSharp	method	CAOPJNBDLJB	0x06001B9D	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionGiveAchievement	0x06001BFE	Parse	1	0xD83280	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=1;mapped=1|android_il_literals=1|switch_script_rva_joined
Assembly-CSharp	method	CFLGJOMFOHK	0x060022FA	IKGEMHCFGGA	3	Nekki.SF2.Core.Utils.Perks.PerkEventRoundStage	0x06002785	set_RoundStage	3	0xF719F0	1	0.970000	0.578000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Int32)	System.Void(System.Int32)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	CFLGJOMFOHK	0x060022FB	PALCFKPEPPF	4	Nekki.SF2.Core.Utils.Perks.PerkEventRoundStage	0x06002786	Parse	4	0xF71A00	1	0.930000	0.538000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=6;mapped=4|android_il_field_refs=1;mapped=0|android_il_literals=1|switch_script_rva_joined
Assembly-CSharp	field	CLBEGGLEHMB	0x04001664	<ABMCCMHGHAB>k__BackingField	0	Nekki.SF2.Core.Utils.Perks.PerkActionAddBullets	0x04001CA9	<BulletType>k__BackingField	0		1	1.000000	0.780000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.String	System.String	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|property_backing_semantics_equal
Assembly-CSharp	method	CLBEGGLEHMB	0x06002261	CBFLDHEDMLL	3	Nekki.SF2.Core.Utils.Perks.PerkActionAddBullets	0x060026EC	set_BulletType	3	0xF69900	1	0.970000	0.486667	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.String)	System.Void(System.String)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	CLBEGGLEHMB	0x06002264	PALCFKPEPPF	6	Nekki.SF2.Core.Utils.Perks.PerkActionAddBullets	0x060026EF	Parse	6	0xF69920	1	0.930000	0.533333	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=18;mapped=9|android_il_field_refs=1;mapped=0|android_il_literals=3|switch_script_rva_joined
Assembly-CSharp	method	CNHAJBPAJAF	0x060012EA	PALCFKPEPPF	2	Nekki.SF2.Core.Fights.Model.Animation.Moves.Events.EventIntervalEnd	0x06000C93	Parse	2	0x10153A0	1	0.930000	0.616667	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=1|android_il_field_refs=2;mapped=1|android_il_literals=8|switch_script_rva_joined
Assembly-CSharp	method	DBOJBNAAOAD	0x06001BC9	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionOpenUrl	0x06001C32	Parse	1	0xD87960	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=3;mapped=2|android_il_literals=2|switch_script_rva_joined
Assembly-CSharp	field	DGJOLLPMFOO	0x04000FDA	KGCLOEKBCIH	2	Nekki.SF2.Core.Quests.Actions.QuestActionBuyItem	0x040012E8	_itemAction	2		1	1.000000	0.720000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	PCKPFBFHKJH	ItemAction	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal
Assembly-CSharp	method	DGJOLLPMFOO	0x06001B38	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionBuyItem	0x06001B82	Parse	1	0xD74860	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=5;mapped=2|android_il_field_refs=4;mapped=3|android_il_literals=8|switch_script_rva_joined
Assembly-CSharp	field	DIAODIFNGLI	0x0400162F	value__	0	Nekki.SF2.Core.Utils.Perks.PlayerType	0x04001C74	value__	0		1	1.000000	0.840000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal|meaningful_name_equal_supporting_only
Assembly-CSharp	field	DKMKJJGAHMA	0x0400107A	PHFKDPIKOBH	0	Nekki.SF2.Core.Quests.Actions.QuestActionMenuBtnFlashing	0x040013F0	_btnName	0		1	1.000000	0.780000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.String	System.String	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal
Assembly-CSharp	method	DKMKJJGAHMA	0x06001C45	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionMenuBtnFlashing	0x06001CF5	Parse	1	0xD869D0	1	0.930000	0.423333	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=2;mapped=1|android_il_literals=1|switch_script_rva_joined
Assembly-CSharp	method	DMPBHHGACBP	0x0600229E	HPLGLAKMGJJ	3	Nekki.SF2.Core.Utils.Perks.PerkActionChangeAdditionalDamageValue	0x06002729	set_AdditionalDamageValue	3	0xF69DA0	1	0.970000	0.585000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Single)	System.Void(System.Single)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	DMPBHHGACBP	0x0600229F	PALCFKPEPPF	4	Nekki.SF2.Core.Utils.Perks.PerkActionChangeAdditionalDamageValue	0x0600272A	Parse	4	0xF69DB0	1	0.930000	0.545000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=6;mapped=4|android_il_literals=3|switch_script_rva_joined
Assembly-CSharp	method	DPFFGDMBLKB	0x06001B87	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionFight	0x06001BE8	Parse	1	0xD80060	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=2;mapped=1|android_il_literals=1|switch_script_rva_joined
Assembly-CSharp	field	DPOHKPAKPPM	0x040013E5	value__	0	GameOverTypes	0x04001905	value__	0		1	1.000000	0.820000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal|meaningful_name_equal_supporting_only
Assembly-CSharp	field	ECHINOPKGGI	0x040007BE	value__	0	Nekki.SF2.Core.Fights.FightCID	0x040006E9	value__	0		1	1.000000	0.804800	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal|meaningful_name_equal_supporting_only
Assembly-CSharp	method	EFGCBFIEOKH	0x06002300	GBKAEJOFPIE	3	Nekki.SF2.Core.Utils.Perks.PerkEventEveryFrame	0x0600278B	set_Step	3	0xF70A00	1	0.970000	0.578000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Int32)	System.Void(System.Int32)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	EFGCBFIEOKH	0x06002301	PALCFKPEPPF	4	Nekki.SF2.Core.Utils.Perks.PerkEventEveryFrame	0x0600278C	Parse	4	0xF70A10	1	0.930000	0.538000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=5;mapped=3|android_il_literals=2|switch_script_rva_joined
Assembly-CSharp	method	EFIMNMBMCIJ	0x06002236	EACLCENGNCH	3	Nekki.SF2.Core.Utils.Perks.ModHealthChange	0x060026C1	set_PerFrameValue	3	0xF66E30	1	0.970000	0.585000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Single)	System.Void(System.Single)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	EFIMNMBMCIJ	0x06002237	PALCFKPEPPF	4	Nekki.SF2.Core.Utils.Perks.ModHealthChange	0x060026C2	Parse	4	0xF66E40	1	0.930000	0.545000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=6;mapped=4|android_il_literals=3|switch_script_rva_joined
Assembly-CSharp	field	ELKGJAOHJGM	0x04001442	value__	0	StoryTutorialStepCode	0x04001975	value__	0		1	1.000000	0.805000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal|meaningful_name_equal_supporting_only
Assembly-CSharp	method	ENBJNBDOLPK	0x06001C0D	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionShowVideo	0x06001C7A	Parse	1	0xD8CFF0	1	0.918333	0.411667	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_position_close|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=2;mapped=1|android_il_literals=1|switch_script_rva_joined
Assembly-CSharp	field	ENKGAHJKICL	0x04000B30	BDAPPIHMJDM	3	DelayedAnimation	0x04000A65	IsFrameShift	3		1	1.000000	0.690000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Boolean	System.Boolean	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal
Assembly-CSharp	field	EOONKPMBNBE	0x04000ADF	value__	0	Nekki.SF2.Core.Fights.Model.Components.Edges.EdgeType	0x04000A0E	value__	0		1	1.000000	0.860000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal|meaningful_name_equal_supporting_only
Assembly-CSharp	field	FADHDBNEDHM	0x04001633	value__	0	Nekki.SF2.Core.Utils.Perks.ActionType	0x04001C78	value__	0		1	1.000000	0.805217	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal|meaningful_name_equal_supporting_only
Assembly-CSharp	method	FBDAHEODOGP	0x0600223E	JCKKKPIJGIA	3	Nekki.SF2.Core.Utils.Perks.PerkActionSetTactics	0x060026C9	set_Tactics	3	0xF6B150	1	0.970000	0.585000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.String)	System.Void(System.String)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	FBDAHEODOGP	0x0600223F	PALCFKPEPPF	4	Nekki.SF2.Core.Utils.Perks.PerkActionSetTactics	0x060026CA	Parse	4	0xF6B160	1	0.930000	0.545000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=6;mapped=4|android_il_field_refs=1;mapped=0|android_il_literals=2|switch_script_rva_joined
Assembly-CSharp	field	FBLKPCHKAHM	0x0400166E	<OPAFELFOFFB>k__BackingField	0	Nekki.SF2.Core.Utils.Perks.PerkActionSetModEffect	0x04001CB3	<ModName>k__BackingField	0		1	1.000000	0.780000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.String	System.String	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|property_backing_semantics_equal
Assembly-CSharp	method	FBLKPCHKAHM	0x06002281	KBHILDAFOEC	3	Nekki.SF2.Core.Utils.Perks.PerkActionSetModEffect	0x0600270C	set_ModName	3	0xF6ACE0	1	0.970000	0.480000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.String)	System.Void(System.String)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	FBLKPCHKAHM	0x06002284	PALCFKPEPPF	6	Nekki.SF2.Core.Utils.Perks.PerkActionSetModEffect	0x0600270F	Parse	6	0xF6AD10	1	0.930000	0.530000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=8;mapped=6|android_il_field_refs=1;mapped=0|android_il_literals=3|switch_script_rva_joined
Assembly-CSharp	method	FEMGGEAGICG	0x06001D4B	NHCBGKHMMEK	22	ChangingSprite	0x06001E3D	UpdateAnimation	31	0xF0FB20	1	0.925625	0.303125	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Single(System.Single)	System.Single(System.Single)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_position_close|method_semantics_equal|android_il_call_refs=1;mapped=1|android_il_field_refs=4;mapped=4|android_il_literals=7|switch_script_rva_joined
Assembly-CSharp	field	FHPJJGPJLHD	0x04001758	GCAPLEJMMPM	0	Nekki.SF2.Core.Utils.Perks.ProfilePerkContainer	0x04001D9E	Level	0		1	1.000000	0.780000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal
Assembly-CSharp	field	FIHMEHKAOCP	0x04000CA0	MENAJEAJJBE	0	Nekki.SF2.Core.Fights.Model.Support.GroupModel	0x04000C0F	Name	0		1	1.000000	0.720000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.String	System.String	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal
Assembly-CSharp	method	FIIMJHJLBBP	0x060021CA	PALCFKPEPPF	1	Nekki.SF2.Core.Utils.OutdateLevels	0x06002655	Parse	1	0xF623C0	1	0.930000	0.640000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=9;mapped=4|android_il_field_refs=1;mapped=1|switch_script_rva_joined
